# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f          
       1.000000000000e+14       7.558775569327e-26       4.634785000235e-09       2.157468326035e+22       1.537679974286e+04       1.537679974286e-10       1.537679974286e+18       2.676054439467e-09       2.753580214648e+44       2.725992637331e+33       1.362996318666e+34       1.901088978193e+44       4.654669193004e+44       4.223166365684e-20       2.000000000000e+14 
       9.930486593843e+13       7.664968807300e-26       4.667526809499e-09       2.127577982953e+22       1.537679974286e+04       1.548443734106e-10       1.526991037027e+18       2.694786820543e-09       2.677810562215e+44       2.669538980851e+33       1.334769490426e+34       1.848777136920e+44       4.526587699295e+44       5.891835462339e-08       1.433565615564e+02 
       9.861456399050e+13       7.772653954074e-26       4.700268618762e-09       2.098101751447e+22       1.537679974286e+04       1.559282840245e-10       1.516376402212e+18       2.713650328287e-09       2.604125846403e+44       2.614254445405e+33       1.307127222703e+34       1.797904748912e+44       4.402030595472e+44       1.178367092467e-07       7.167828077820e+01 
       9.792906056653e+13       7.881851969475e-26       4.733010428026e-09       2.069033894267e+22       1.537679974286e+04       1.570197820127e-10       1.505835553338e+18       2.732645880585e-09       2.532468696478e+44       2.560114819204e+33       1.280057409602e+34       1.748432205055e+44       4.280900901687e+44       1.767550638701e-07       4.778552051880e+01 
       9.724832231036e+13       7.992584107794e-26       4.765752237290e-09       2.040368753647e+22       1.537679974286e+04       1.581189204868e-10       1.495367977496e+18       2.751774401749e-09       2.462783320360e+44       2.507096391871e+33       1.253548195936e+34       1.700320986150e+44       4.163104306660e+44       2.356734184934e-07       3.583914038910e+01 
       9.657231609767e+13       8.104871921924e-26       4.800313035958e-09       2.012100750208e+22       1.537679974286e+04       1.592257529302e-10       1.484973165339e+18       2.771036822561e-09       2.395015461189e+44       2.455175944057e+33       1.227587972028e+34       1.653533632922e+44       4.048549094259e+44       2.945917731167e-07       2.867131231128e+01 
       9.590100903443e+13       8.218737267555e-26       4.833054845221e-09       1.984224381867e+22       1.537679974286e+04       1.603403332007e-10       1.474650611061e+18       2.790434080319e-09       2.329112355080e+44       2.404330737270e+33       1.202165368635e+34       1.608033716854e+44       3.937146072079e+44       3.535101277400e-07       2.389276025940e+01 
       9.523436845525e+13       8.334202307427e-26       4.867615643889e-09       1.956734222772e+22       1.537679974286e+04       1.614627155331e-10       1.464399812374e+18       2.809967118881e-09       2.265022690039e+44       2.354538503921e+33       1.177269251961e+34       1.563785811826e+44       3.828808502006e+44       4.124284823633e-07       2.047950879377e+01 
       9.457236192179e+13       8.451289515644e-26       4.900357453153e-09       1.929624922239e+22       1.537679974286e+04       1.625929545418e-10       1.454220270481e+18       2.829636888713e-09       2.202696566012e+44       2.305777437567e+33       1.152888718784e+34       1.520755466528e+44       3.723452032678e+44       4.713468369866e-07       1.791957019455e+01 
       9.391495722125e+13       8.570021682049e-26       4.934918251820e-09       1.902891203718e+22       1.537679974286e+04       1.637311052236e-10       1.444111490051e+18       2.849444346934e-09       2.142085456034e+44       2.258026183365e+33       1.129013091682e+34       1.478909177642e+44       3.620994633811e+44       5.302651916099e-07       1.592850683960e+01 
