# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.08141e-05 to 1.10652 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.081414390525e-05      -1.317198655420e-03      -9.884107320405e-04      -9.884107606277e-04      -1.317178421740e-03      -9.884909363657e-04       4.941776710318e-01       4.940511623731e-01 
       1.361420056912e-05      -2.086988612901e-03      -1.566526713788e-03      -1.566526785593e-03      -2.086937800822e-03      -1.566653695828e-03       4.941779649812e-01       4.940515119791e-01 
       1.713926305772e-05      -3.306061541424e-03      -2.482773853322e-03      -2.482774033673e-03      -3.305933959355e-03      -2.482974771164e-03       4.941770640602e-01       4.940506995693e-01 
       2.157705380279e-05      -5.235760219781e-03      -3.934924923687e-03      -3.934925376653e-03      -5.235439951310e-03      -3.935242515967e-03       4.941759838097e-01       4.940497594246e-01 
       2.716390134399e-05      -8.288099150245e-03      -6.236421254595e-03      -6.236422392201e-03      -8.287295476315e-03      -6.236922494161e-03       4.941744102066e-01       4.940484076141e-01 
       3.419732568541e-05      -1.311060784619e-02      -9.884019850975e-03      -9.884022707710e-03      -1.310859231582e-02      -9.884808969529e-03       4.941716475716e-01       4.940459959631e-01 
       4.305188232077e-05      -2.071589755520e-02      -1.566501068783e-02      -1.566501786035e-02      -2.071084753274e-02      -1.566624809609e-02       4.941672637173e-01       4.940421668755e-01 
       5.419910867919e-05      -3.267476820464e-02      -2.482710487251e-02      -2.482712287618e-02      -3.266213373661e-02      -2.482903285962e-02       4.941603222899e-01       4.940361009536e-01 
       6.823263521282e-05      -5.139211492202e-02      -3.934764634418e-02      -3.934769151663e-02      -5.136057905515e-02      -3.935061920963e-02       4.941493323950e-01       4.940264892781e-01 
       8.589979838310e-05      -8.047052454337e-02      -6.236014866573e-02      -6.236026193125e-02      -8.039210329314e-02      -6.236465451143e-02       4.941319308198e-01       4.940112486518e-01 
       1.081414390525e-04      -1.251095922330e-01      -9.882998996868e-02      -9.883027367274e-02      -1.249157303503e-01      -9.883662260816e-02       4.941044641186e-01       4.939871487809e-01 
       1.361420056912e-04      -1.923256712680e-01      -1.566245025557e-01      -1.566252120012e-01      -1.918509238895e-01      -1.566337696972e-01       4.940612646875e-01       4.939491422662e-01 
       1.713926305772e-04      -2.903813387745e-01      -2.482069184379e-01      -2.482086878833e-01      -2.892361013436e-01      -2.482186057845e-01       4.939935759543e-01       4.938893344622e-01 
       2.157705380279e-04      -4.260112332281e-01      -3.933161670961e-01      -3.933205623519e-01      -4.233143959915e-01      -3.933276383044e-01       4.938882009667e-01       4.937956122910e-01 
       2.716390134399e-04      -5.968607855103e-01      -6.232020720024e-01      -6.232129199521e-01      -5.907531311218e-01      -6.232043357586e-01       4.937257648629e-01       4.936496907153e-01 
       3.419732568541e-04      -7.764719242049e-01      -9.873091169492e-01      -9.873356249594e-01      -7.634956426678e-01      -9.872791229998e-01       4.934789206957e-01       4.934246620324e-01 
       4.305188232077e-04      -8.962433119572e-01      -1.563803601828e+00      -1.563867390285e+00      -8.714737486781e-01      -1.563692998581e+00       4.931112574250e-01       4.930825419282e-01 
       5.419910867919e-04      -8.557813510635e-01      -2.476110938738e+00      -2.476260916031e+00      -8.166007657246e-01      -2.475840405423e+00       4.925773257346e-01       4.925725559549e-01 
       6.823263521282e-04      -6.300340727228e-01      -3.918812169431e+00      -3.919152931476e+00      -5.870839143993e-01      -3.918297864338e+00       4.918221209499e-01       4.918309972388e-01 
       8.589979838310e-04      -4.331588010876e-01      -6.198039413878e+00      -6.198777011349e+00      -4.167830636470e-01      -6.197263967762e+00       4.907722858193e-01       4.907798812375e-01 
       1.081414390525e-03      -4.534298094855e-01      -9.794151325233e+00      -9.795647461307e+00      -4.701283927591e-01      -9.793157146881e+00       4.893131885230e-01       4.893148685767e-01 
       1.361420056912e-03      -3.019954439495e-01      -1.545812343070e+01      -1.546092288893e+01      -2.905841187407e-01      -1.545682510430e+01       4.872766917517e-01       4.872792286463e-01 
       1.713926305772e-03      -2.250217050306e-01      -2.435797034976e+01      -2.436276595488e+01      -2.068555653306e-01      -2.435619273002e+01       4.844605236571e-01       4.844616945335e-01 
       2.157705380279e-03      -4.144314705918e-02      -3.829959730314e+01      -3.830727760265e+01      -4.595069838712e-02      -3.829684920583e+01       4.806273580223e-01       4.806285661617e-01 
       2.716390134399e-03      -1.971098820402e-02      -6.005021006756e+01      -6.006263441791e+01      -1.635707790516e-04      -6.004621526816e+01       4.754762789707e-01       4.754768144061e-01 
       3.419732568541e-03       4.845480300418e-02      -9.380550351960e+01      -9.382732102110e+01       2.274885283428e-02      -9.380131397535e+01       4.686522819231e-01       4.686527070489e-01 
       4.305188232077e-03       1.189465538714e-01      -1.458451254956e+02      -1.458847842911e+02      -2.540778065596e-01      -1.458435512077e+02       4.597568231808e-01       4.597571020597e-01 
       5.419910867919e-03       3.988991250848e-02      -2.254021559666e+02      -2.254762628243e+02       4.378271972877e-02      -2.254106814724e+02       4.483476879007e-01       4.483476879007e-01 
       6.823263521282e-03       3.863312971727e-02      -3.457409457751e+02      -3.458875607381e+02       4.240100157616e-02      -3.457822591055e+02       4.339531196161e-01       4.339531196161e-01 
       8.589979838310e-03       3.703514837601e-02      -5.253290516945e+02      -5.256308274068e+02       4.064783069689e-02      -5.254595315915e+02       4.160822318218e-01       4.160822318218e-01 
       1.081414390525e-02       3.504307818970e-02      -7.886790511168e+02      -7.893213518483e+02       3.846581722380e-02      -7.890371154952e+02       3.942186759349e-01       3.942186759349e-01 
       1.361420056912e-02       3.270108037543e-02      -1.165923765826e+03      -1.167315603688e+03       3.589469968745e-02      -1.166832135468e+03       3.678307728940e-01       3.678307728940e-01 
       1.713926305768e-02       2.991733631032e-02      -1.689491253640e+03      -1.692504949061e+03       3.283869878171e-02      -1.691661765658e+03       3.364752765803e-01       3.364752765803e-01 
       2.157705354515e-02       2.669935650637e-02      -2.385651503539e+03      -2.392013211831e+03       2.930411413204e-02      -2.390521268544e+03       3.000075704483e-01       3.000075704483e-01 
       2.716372450706e-02       2.304273641830e-02      -3.262756089714e+03      -3.275428016528e+03       2.529275391224e-02      -3.272819394958e+03       2.591595785589e-01       2.591595785589e-01 
       3.417482766411e-02       1.925686961749e-02      -4.309669142297e+03      -4.332344960604e+03       2.113669106142e-02      -4.328049809758e+03       2.165226978520e-01       2.165226978520e-01 
       4.235828132946e-02       1.593533895836e-02      -5.473491383177e+03      -5.506806661588e+03       1.749050985754e-02      -5.500705542216e+03       1.791288650094e-01       1.791288650094e-01 
       4.911392365603e-02       1.397167363940e-02      -6.456483133184e+03      -6.494439725258e+03       1.533593861285e-02      -6.487434868198e+03       1.571403017528e-01       1.571403017528e-01 
       5.404106761198e-02       1.290094832397e-02      -7.215812428657e+03      -7.254157986095e+03       1.415973632659e-02      -7.246912303118e+03       1.449869777751e-01       1.449869777751e-01 
